name,garnish,serving_suggestion,ingredients,steps,review_count,url,website,image_url
Kiwi Collins,Kiwi slice,Serve in a Collins glass,"['1 fresh Kiwi fruit (fresh)', '2 shot Ketel One Vodka', '1 1⁄2 shot Lemon juice (freshly squeezed)', '1⁄2 shot Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)', 'Top up with Thomas Henry Soda Water']","Cut kiwi fruit in half, scoop out flesh into base of shaker and MUDDLE. Add next three ingredients, SHAKE with ice and fine strain into ice-filled glass. TOP with soda water.",4,https://www.diffordsguide.com/cocktails/recipe/1113/kiwi-collins,diffords,https://cdn.diffords.com/contrib/stock-images/2016/12/24/2016d936ba20ea5000cc170e09ad869c1f6c.jpg
Kiwi Crush,Kiwi slice,Serve in a Martini glass,"['1 fresh Kiwi fruit (fresh)', '2 shot Ketel One Citroen Vodka', '1 shot Apple juice', '1⁄2 shot Lemon juice (freshly squeezed)', '1⁄4 shot Giffard Orgeat Syrup']","Cut kiwi fruit in half, scoop out flesh into base of shaker and MUDDLE. Add other ingredients, SHAKE with ice and fine strain into chilled glass.",5,https://www.diffordsguide.com/cocktails/recipe/1114/kiwi-crush,diffords,https://cdn.diffords.com/contrib/stock-images/2016/12/30/2016330a4104c2dadcf7bcd3c43e7c52c63f.jpg
Kiwi Fresh Fruit Martini,Kiwi slice on rim,Serve in a Martini glass,"['1 fresh Kiwi fruit (fresh)', '2 shot Ketel One Vodka', '1⁄2 shot Martini Bianco vermouth', '1⁄6 shot Kiwi sugar syrup']","Cut kiwi fruit in half and cut a slice to put aside for garnish. Scoop out flesh out of both halves into base of shaker and MUDDLE. Add other ingredients, SHAKE with ice and fine strain into chilled glass.",5,https://www.diffordsguide.com/cocktails/recipe/1115/kiwi-fresh-fruit-martini,diffords,https://cdn.diffords.com/contrib/stock-images/2016/12/23/2016d2ffa92add59cb90e37f6348367db79e.jpg
Klondike,Orange slice wheel in drink,Serve in a Collins glass,"['1 2⁄3 shot Bourbon whiskey', '1 2⁄3 shot Orange juice (freshly squeezed)', '1 2⁄3 shot Thomas Henry Ginger Ale']",POUR ingredients into glass and fill with ice.,9,https://www.diffordsguide.com/cocktails/recipe/1116/klondike,diffords,https://cdn.diffords.com/contrib/stock-images/2016/12/31/20169e33f08347abac9f5173aa5c349e6494.jpg
Knickerbocker Martini,Orange zest twist,Serve in a Coupe glass,"['1 3⁄4 shot Rutte Dry Gin', '3⁄4 shot Martini Extra Dry vermouth', '1⁄2 shot Martini Rosso sweet vermouth']",STIR all ingredients with ice and strain into chilled glass.,2,https://www.diffordsguide.com/cocktails/recipe/1117/knickerbocker-martini,diffords,https://cdn.diffords.com/contrib/stock-images/2016/12/31/2016888ceceed8fb107373ac94c638b43c18.jpg
Knickerbocker Special,Pineapple wedge & Luxardo Maraschino cherry,Serve in a Coupe glass,"['1 1⁄2 shot Havana Club 3 Year Old rum', '1⁄2 shot Orange Curaçao liqueur', '1⁄2 shot Raspberry (framboise) sugar syrup', '1⁄2 shot Pineapple juice (fresh pressed)', '1⁄2 shot Orange juice (freshly squeezed)', '1⁄4 shot Lemon juice (freshly squeezed)', '1⁄4 shot Lime juice (freshly squeezed)']",SHAKE all ingredients with ice and fine strain into chilled glass.,3,https://www.diffordsguide.com/cocktails/recipe/1118/knickerbocker-special,diffords,https://cdn.diffords.com/contrib/stock-images/2016/12/02/2016ecfa32d819ac33a60eb3f68d61b353d9.jpg
Knockout Martini,Star anise,Serve in a Coupe glass,"['1 1⁄2 shot Rutte Dry Gin', '1 1⁄2 shot Martini Extra Dry vermouth', '1⁄4 shot La Fée Parisienne absinthe', '1⁄4 shot Giffard Menthe Pastille white crème de menthe']",STIR all ingredients with ice and strain into chilled glass.,1,https://www.diffordsguide.com/cocktails/recipe/1120/knockout-martini,diffords,https://cdn.diffords.com/contrib/stock-images/2016/12/33/20169fc9319a3c996a4b6e9ea042001af365.jpg
Koi Yellow,Rose petal,Serve in a Martini glass,"['2 shot Raspberry flavoured vodka', '1⁄2 shot De Kuyper Triple Sec (40%)', '1 shot Lemon juice (freshly squeezed)', '1⁄2 shot Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']",SHAKE all ingredients with ice and fine strain into chilled glass.,7,https://www.diffordsguide.com/cocktails/recipe/1121/koi-yellow,diffords,https://cdn.diffords.com/contrib/stock-images/2016/12/33/2016e647f2bef290b0fcbb2c1b465d5e7a2f.jpg
Kool Hand Luke,Lime wedge,Serve in a Rocks glass,"['1 fresh Lime (fresh) (cut into segments)', '2 shot Overproof pot still rum', '1 shot Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)', '2 dash Angostura Aromatic Bitters']","MUDDLE lime in base of glass to release juices. POUR other ingredients into glass, add crushed ice and CHURN (stir). Serve with straws.",3,https://www.diffordsguide.com/cocktails/recipe/1122/kool-hand-luke,diffords,https://cdn.diffords.com/contrib/stock-images/2016/12/34/2016821ba25392b164fbf8d8613da2eb2d1e.jpg
Koolaid,Lime wedge,Serve in a Collins glass,"['1 1⁄2 shot Ketel One Vodka', '3⁄4 shot Green melon liqueur', '3⁄4 shot Disaronno amaretto', '1⁄2 shot Lime juice (freshly squeezed)', '2 shot Cranberry juice (sweetened)', '1 shot Orange juice (freshly squeezed)']",SHAKE all ingredients with ice and strain into ice-filled glass.,13,https://www.diffordsguide.com/cocktails/recipe/1123/koolaid,diffords,https://cdn.diffords.com/contrib/stock-images/2016/7/41/2016601e9549163ef064c131b3503bd332bd.jpg
Krakow Tea,Lime wedge & mint sprig,Serve in a Collins glass,"['12 fresh Mint leaves', '2 shot Bison grass vodka', '1 shot Camomile tea (cold)', '3 1⁄2 shot Apple juice', '1⁄4 shot Lime juice (freshly squeezed)', '1⁄4 shot Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']",Lightly MUDDLE mint in base of shaker (just to bruise). SHAKE all ingredients with ice and fine strain into ice-filled glass.,0,https://www.diffordsguide.com/cocktails/recipe/1124/krakow-tea,diffords,https://cdn.diffords.com/contrib/stock-images/2016/12/35/20167b8ba4c8c1029424fa9b9d89c4bf808d.jpg
